Test,Subject,Shot,Model,Accuracy
Test1,Overall,5,Freeze10-MTL(S2.5K+G20K),48.7
Test1,STEM,5,Freeze10-MTL(S2.5K+G5K),40.73
Test1,Humanities,5,Freeze10-MTL(S2.5K+G5K),51.73
Test1,Social Science,5,Freeze10-MTL(S2.5K+G5K),52.3
Test1,Other,5,Freeze10-MTL(S2.5K+G5K),51.8
Test1,China specific,5,Freeze10-MTL(S2.5K+G5K),50.71
Test1,Overall,5,Freeze10-MTL(S2.5K+G5K),49.14
Test1,STEM,5,Freeze10,41.05
Test1,Humanities,5,Freeze10,52.08
Test1,Social Science,5,Freeze10,52.06
Test1,Other,5,Freeze10,53.23
Test1,China specific,5,Freeze10,50.89
Test1,Overall,5,Freeze10,49.53
Test1,STEM,5,Freeze15,41.66
Test1,Humanities,5,Freeze15,52.33
Test1,Social Science,5,Freeze15,52.11
Test1,Other,5,Freeze15,52.69
Test1,China specific,5,Freeze15,50.73
Test1,Overall,5,Freeze15,49.63
Test1,STEM,5,Freeze20,40.49
Test1,Humanities,5,Freeze20,51.67
Test1,Social Science,5,Freeze20,52.33
Test1,Other,5,Freeze20,52.93
Test1,China specific,5,Freeze20,51.34
Test1,Overall,5,Freeze20,49.33
Test1,STEM,5,Freeze3,41.04
Test1,Humanities,5,Freeze3,51.63
Test1,Social Science,5,Freeze3,52.29
Test1,Other,5,Freeze3,52.58
Test1,China specific,5,Freeze3,50.4
Test1,Overall,5,Freeze3,49.37
Test1,STEM,5,Freeze30,41.54
Test1,Humanities,5,Freeze30,53.12
Test1,Social Science,5,Freeze30,52.6
Test1,Other,5,Freeze30,52.1
Test1,China specific,5,Freeze30,50.45
Test1,Overall,5,Freeze30,49.78
Test1,STEM,5,Freeze5,40.51
Test1,Humanities,5,Freeze5,51.74
Test1,Social Science,5,Freeze5,52.32
Test1,Other,5,Freeze5,52.18
Test1,China specific,5,Freeze5,50.23
Test1,Overall,5,Freeze5,49.18
Test1,STEM,5,Lora10,39.78
Test1,Humanities,5,Lora10,52.68
Test1,Social Science,5,Lora10,53.11
Test1,Other,5,Lora10,52.23
Test1,China specific,5,Lora10,51.22
Test1,Overall,5,Lora10,49.45
Test1,STEM,5,Lora15,40.07
Test1,Humanities,5,Lora15,53.76
Test1,Social Science,5,Lora15,53.35
Test1,Other,5,Lora15,53.17
Test1,China specific,5,Lora15,51.64
Test1,Overall,5,Lora15,50.02
Test1,STEM,5,Lora20,40.22
Test1,Humanities,5,Lora20,53.49
Test1,Social Science,5,Lora20,52.64
Test1,Other,5,Lora20,53.04
Test1,China specific,5,Lora20,51.52
Test1,Overall,5,Lora20,49.74
Test1,STEM,5,Lora3,40.16
Test1,Humanities,5,Lora3,51.92
Test1,Social Science,5,Lora3,52.18
Test1,Other,5,Lora3,51.59
Test1,China specific,5,Lora3,50.13
Test1,Overall,5,Lora3,48.95
Test1,STEM,5,Lora30,39.92
Test1,Humanities,5,Lora30,52.24
Test1,Social Science,5,Lora30,53.26
Test1,Other,5,Lora30,52.43
Test1,China specific,5,Lora30,51.22
Test1,Overall,5,Lora30,49.49
Test1,STEM,5,Lora5,39.84
Test1,Humanities,5,Lora5,51.59
Test1,Social Science,5,Lora5,52.3
Test1,Other,5,Lora5,51.47
Test1,China specific,5,Lora5,50.04
Test1,Overall,5,Lora5,48.82
Test2,STEM,5,ChatGLM3_6B,41.26
Test2,Humanities,5,ChatGLM3_6B,54.43
Test2,Social Science,5,ChatGLM3_6B,53.58
Test2,Other,5,ChatGLM3_6B,53.18
Test2,China specific,5,ChatGLM3_6B,51.86
Test2,Overall,5,ChatGLM3_6B,50.53
Test2,STEM,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),41.29
Test2,Humanities,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),52.69
Test2,Social Science,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),53.33
Test2,Other,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),53.44
Test2,China specific,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),51.5
Test2,Overall,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),50.18
Test2,STEM,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),41.05
Test2,Humanities,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),53.9
Test2,Social Science,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),53.08
Test2,Other,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),53.27
Test2,China specific,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),51.6
Test2,Overall,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),50.23
Test2,STEM,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),40.76
Test2,Humanities,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),53.66
Test2,Social Science,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),54.92
Test2,Other,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),53.41
Test2,China specific,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),52.12
Test2,Overall,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),50.74
Test2,STEM,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),42.79
Test2,Humanities,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),54.91
Test2,Social Science,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),54.63
Test2,Other,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),54.88
Test2,China specific,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),53.2
Test2,Overall,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),51.73
Test2,STEM,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),40.96
Test2,Humanities,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),51.48
Test2,Social Science,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),53.03
Test2,Other,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),52.34
Test2,China specific,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),51.17
Test2,Overall,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),49.51
Test2,STEM,5,Freeze10-MTL(S2.5K+G1.25K),41.1
Test2,Humanities,5,Freeze10-MTL(S2.5K+G1.25K),52.02
Test2,Social Science,5,Freeze10-MTL(S2.5K+G1.25K),52.28
Test2,Other,5,Freeze10-MTL(S2.5K+G1.25K),52.57
Test2,China specific,5,Freeze10-MTL(S2.5K+G1.25K),49.95
Test2,Overall,5,Freeze10-MTL(S2.5K+G1.25K),49.46
Test2,STEM,5,Freeze10-MTL(S2.5K+G10K),40.21
Test2,Humanities,5,Freeze10-MTL(S2.5K+G10K),50.72
Test2,Social Science,5,Freeze10-MTL(S2.5K+G10K),50.96
Test2,Other,5,Freeze10-MTL(S2.5K+G10K),50.6
Test2,China specific,5,Freeze10-MTL(S2.5K+G10K),49.05
Test2,Overall,5,Freeze10-MTL(S2.5K+G10K),48.11
Test2,STEM,5,Freeze10-MTL(S2.5K+G2.5K),42.39
Test2,Humanities,5,Freeze10-MTL(S2.5K+G2.5K),53.84
Test2,Social Science,5,Freeze10-MTL(S2.5K+G2.5K),54.55
Test2,Other,5,Freeze10-MTL(S2.5K+G2.5K),53.79
Test2,China specific,5,Freeze10-MTL(S2.5K+G2.5K),52.61
Test2,Overall,5,Freeze10-MTL(S2.5K+G2.5K),51.16
Test2,STEM,5,Freeze10-MTL(S2.5K+G20K),40.04
Test2,Humanities,5,Freeze10-MTL(S2.5K+G20K),52.59
Test2,Social Science,5,Freeze10-MTL(S2.5K+G20K),52.1
Test2,Other,5,Freeze10-MTL(S2.5K+G20K),52.11
Test2,China specific,5,Freeze10-MTL(S2.5K+G20K),49.99
Test2,Overall,5,Freeze10-MTL(S2.5K+G20K),49.14
Test2,STEM,5,Freeze10-MTL(S2.5K+G5K),41.23
Test2,Humanities,5,Freeze10-MTL(S2.5K+G5K),51.77
Test2,Social Science,5,Freeze10-MTL(S2.5K+G5K),53.08
Test2,Other,5,Freeze10-MTL(S2.5K+G5K),51.94
Test2,China specific,5,Freeze10-MTL(S2.5K+G5K),51.4
Test2,Overall,5,Freeze10-MTL(S2.5K+G5K),49.56
Test2,STEM,5,Freeze10,42.07
Test2,Humanities,5,Freeze10,53.93
Test2,Social Science,5,Freeze10,53.3
Test2,Other,5,Freeze10,53.66
Test2,China specific,5,Freeze10,51.39
Test2,Overall,5,Freeze10,50.65
Test2,STEM,5,Freeze15,41.37
Test2,Humanities,5,Freeze15,53.07
Test2,Social Science,5,Freeze15,52.56
Test2,Other,5,Freeze15,52.88
Test2,China specific,5,Freeze15,51.77
Test2,Overall,5,Freeze15,49.89
Test2,STEM,5,Freeze20,40.1
Test2,Humanities,5,Freeze20,52.44
Test2,Social Science,5,Freeze20,52.45
Test2,Other,5,Freeze20,52.07
Test2,China specific,5,Freeze20,51.06
Test2,Overall,5,Freeze20,49.23
Test2,STEM,5,Freeze3,40.24
Test2,Humanities,5,Freeze3,52.02
Test2,Social Science,5,Freeze3,52.82
Test2,Other,5,Freeze3,52.58
Test2,China specific,5,Freeze3,50.82
Test2,Overall,5,Freeze3,49.42
Test2,STEM,5,Freeze30,40.28
Test2,Humanities,5,Freeze30,52.28
Test2,Social Science,5,Freeze30,53.48
Test2,Other,5,Freeze30,53.23
Test2,China specific,5,Freeze30,52.31
Test2,Overall,5,Freeze30,49.84
Test2,STEM,5,Freeze5,40.35
Test2,Humanities,5,Freeze5,52.19
Test2,Social Science,5,Freeze5,53.14
Test2,Other,5,Freeze5,52.57
Test2,China specific,5,Freeze5,51.1
Test2,Overall,5,Freeze5,49.59
Test2,STEM,5,Lora10,40.7
Test2,Humanities,5,Lora10,52.5
Test2,Social Science,5,Lora10,53.0
Test2,Other,5,Lora10,52.45
Test2,China specific,5,Lora10,51.45
Test2,Overall,5,Lora10,49.66
Test2,STEM,5,Lora15,39.66
Test2,Humanities,5,Lora15,50.79
Test2,Social Science,5,Lora15,52.9
Test2,Other,5,Lora15,52.77
Test2,China specific,5,Lora15,51.41
Test2,Overall,5,Lora15,49.1
Test2,STEM,5,Lora20,39.72
Test2,Humanities,5,Lora20,51.67
Test2,Social Science,5,Lora20,52.57
Test2,Other,5,Lora20,52.39
Test2,China specific,5,Lora20,50.12
Test2,Overall,5,Lora20,49.09
Test2,STEM,5,Lora3,39.51
Test2,Humanities,5,Lora3,51.97
Test2,Social Science,5,Lora3,51.57
Test2,Other,5,Lora3,51.73
Test2,China specific,5,Lora3,50.4
Test2,Overall,5,Lora3,48.62
Test2,STEM,5,Lora30,40.7
Test2,Humanities,5,Lora30,53.03
Test2,Social Science,5,Lora30,53.7
Test2,Other,5,Lora30,53.37
Test2,China specific,5,Lora30,52.05
Test2,Overall,5,Lora30,50.19
Test2,STEM,5,Lora5,40.09
Test2,Humanities,5,Lora5,52.75
Test2,Social Science,5,Lora5,52.84
Test2,Other,5,Lora5,51.59
Test2,China specific,5,Lora5,50.84
Test2,Overall,5,Lora5,49.31
Test3,STEM,5,ChatGLM3_6B,41.4
Test3,Humanities,5,ChatGLM3_6B,52.55
Test3,Social Science,5,ChatGLM3_6B,53.45
Test3,Other,5,ChatGLM3_6B,53.04
Test3,China specific,5,ChatGLM3_6B,50.94
Test3,Overall,5,ChatGLM3_6B,50.12
Test3,STEM,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),41.82
Test3,Humanities,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),53.41
Test3,Social Science,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),53.73
Test3,Other,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),53.36
Test3,China specific,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),51.12
Test3,Overall,5,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),50.56
Test3,STEM,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),40.09
Test3,Humanities,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),52.78
Test3,Social Science,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),52.79
Test3,Other,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),53.14
Test3,China specific,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),50.88
Test3,Overall,5,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),49.64
Test3,STEM,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),41.08
Test3,Humanities,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),54.51
Test3,Social Science,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),53.59
Test3,Other,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),53.58
Test3,China specific,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),50.92
Test3,Overall,5,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),50.59
Test3,STEM,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),41.87
Test3,Humanities,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),55.68
Test3,Social Science,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),55.47
Test3,Other,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),53.88
Test3,China specific,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),53.62
Test3,Overall,5,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),51.7
Test3,STEM,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),39.87
Test3,Humanities,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),51.78
Test3,Social Science,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),53.54
Test3,Other,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),51.6
Test3,China specific,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),50.82
Test3,Overall,5,Freeze10(S2.5K)-DMT(S2.5K+G5K),49.3
Test3,STEM,5,Freeze10-MTL(S2.5K+G1.25K),40.51
Test3,Humanities,5,Freeze10-MTL(S2.5K+G1.25K),52.17
Test3,Social Science,5,Freeze10-MTL(S2.5K+G1.25K),52.4
Test3,Other,5,Freeze10-MTL(S2.5K+G1.25K),52.12
Test3,China specific,5,Freeze10-MTL(S2.5K+G1.25K),50.31
Test3,Overall,5,Freeze10-MTL(S2.5K+G1.25K),49.28
Test3,STEM,5,Freeze10-MTL(S2.5K+G10K),40.89
Test3,Humanities,5,Freeze10-MTL(S2.5K+G10K),49.98
Test3,Social Science,5,Freeze10-MTL(S2.5K+G10K),50.7
Test3,Other,5,Freeze10-MTL(S2.5K+G10K),51.37
Test3,China specific,5,Freeze10-MTL(S2.5K+G10K),49.26
Test3,Overall,5,Freeze10-MTL(S2.5K+G10K),48.22
Test3,STEM,5,Freeze10-MTL(S2.5K+G2.5K),41.2
Test3,Humanities,5,Freeze10-MTL(S2.5K+G2.5K),53.78
Test3,Social Science,5,Freeze10-MTL(S2.5K+G2.5K),54.55
Test3,Other,5,Freeze10-MTL(S2.5K+G2.5K),53.29
Test3,China specific,5,Freeze10-MTL(S2.5K+G2.5K),51.32
Test3,Overall,5,Freeze10-MTL(S2.5K+G2.5K),50.73
Test3,STEM,5,Freeze10-MTL(S2.5K+G20K),41.09
Test3,Humanities,5,Freeze10-MTL(S2.5K+G20K),52.09
Test3,Social Science,5,Freeze10-MTL(S2.5K+G20K),51.91
Test3,Other,5,Freeze10-MTL(S2.5K+G20K),52.19
Test3,China specific,5,Freeze10-MTL(S2.5K+G20K),50.43
Test3,Overall,5,Freeze10-MTL(S2.5K+G20K),49.26
Test3,STEM,5,Freeze10-MTL(S2.5K+G5K),41.34
Test3,Humanities,5,Freeze10-MTL(S2.5K+G5K),50.93
Test3,Social Science,5,Freeze10-MTL(S2.5K+G5K),52.86
Test3,Other,5,Freeze10-MTL(S2.5K+G5K),51.19
Test3,China specific,5,Freeze10-MTL(S2.5K+G5K),50.24
Test3,Overall,5,Freeze10-MTL(S2.5K+G5K),49.19
Test3,STEM,5,freeze10,40.5
Test3,Humanities,5,freeze10,52.67
Test3,Social Science,5,freeze10,52.6
Test3,Other,5,freeze10,52.53
Test3,China specific,5,freeze10,50.36
Test3,Overall,5,freeze10,49.53
Test3,STEM,5,freeze15,40.92
Test3,Humanities,5,freeze15,52.84
Test3,Social Science,5,freeze15,53.2
Test3,Other,5,freeze15,51.77
Test3,China specific,5,freeze15,51.0
Test3,Overall,5,freeze15,49.7
Test3,STEM,5,Freeze20,40.95
Test3,Humanities,5,Freeze20,52.75
Test3,Social Science,5,Freeze20,51.69
Test3,Other,5,Freeze20,52.28
Test3,China specific,5,Freeze20,50.62
Test3,Overall,5,Freeze20,49.3
Test3,STEM,5,Freeze3,40.57
Test3,Humanities,5,Freeze3,51.98
Test3,Social Science,5,Freeze3,52.59
Test3,Other,5,Freeze3,53.23
Test3,China specific,5,Freeze3,50.67
Test3,Overall,5,Freeze3,49.56
Test3,STEM,5,Freeze30,41.24
Test3,Humanities,5,Freeze30,52.79
Test3,Social Science,5,Freeze30,52.62
Test3,Other,5,Freeze30,52.91
Test3,China specific,5,Freeze30,51.51
Test3,Overall,5,Freeze30,49.83
Test3,STEM,5,Freeze5,40.27
Test3,Humanities,5,Freeze5,52.23
Test3,Social Science,5,Freeze5,52.74
Test3,Other,5,Freeze5,52.42
Test3,China specific,5,Freeze5,51.2
Test3,Overall,5,Freeze5,49.41
Test3,STEM,5,Lora10,40.67
Test3,Humanities,5,Lora10,52.46
Test3,Social Science,5,Lora10,52.08
Test3,Other,5,Lora10,52.48
Test3,China specific,5,Lora10,51.14
Test3,Overall,5,Lora10,49.35
Test3,STEM,5,Lora15,40.14
Test3,Humanities,5,Lora15,52.22
Test3,Social Science,5,Lora15,52.77
Test3,Other,5,Lora15,52.49
Test3,China specific,5,Lora15,50.97
Test3,Overall,5,Lora15,49.4
Test3,STEM,5,Lora20,40.94
Test3,Humanities,5,Lora20,53.91
Test3,Social Science,5,Lora20,53.25
Test3,Other,5,Lora20,52.87
Test3,China specific,5,Lora20,51.17
Test3,Overall,5,Lora20,50.17
Test3,STEM,5,Lora3,40.73
Test3,Humanities,5,Lora3,51.63
Test3,Social Science,5,Lora3,52.67
Test3,Other,5,Lora3,52.97
Test3,China specific,5,Lora3,50.77
Test3,Overall,5,Lora3,49.5
Test3,STEM,5,Lora30,40.6
Test3,Humanities,5,Lora30,53.17
Test3,Social Science,5,Lora30,53.48
Test3,Other,5,Lora30,51.93
Test3,China specific,5,Lora30,50.99
Test3,Overall,5,Lora30,49.81
Test3,STEM,5,Lora5,41.64
Test3,Humanities,5,Lora5,51.9
Test3,Social Science,5,Lora5,52.55
Test3,Other,5,Lora5,51.15
Test3,China specific,5,Lora5,49.51
Test3,Overall,5,Lora5,49.34
